City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,siwa oasis,29.2041,25.5195,78.22,39,97,13.71,EG,1696280243
265,greenwood,34.1668,-82.1165,85.01,46,20,5.44,US,1696279775
266,punta arenas,-53.15,-70.9167,48.31,61,100,11.5,CL,1696280244
267,naracoorte,-36.9579,140.7383,53.73,96,76,7.18,AU,1696280244
268,turtas,58.9417,69.1325,52.9,72,100,9.78,RU,1696280245
269,inari,68.906,27.0288,30.4,86,100,4.34,FI,1696280246
270,fort mcmurray,56.7268,-111.381,51.39,93,100,5.75,CA,1696280246
271,ancud,-41.8697,-73.8203,48.61,60,91,6.15,CL,1696280247
272,luderitz,-26.6481,15.1594,61.34,76,0,7.7,NA,1696280247
273,tazovsky,67.4667,78.7,46.0,96,100,15.93,RU,1696280248
274,usogorsk,63.4106,48.6872,44.67,86,68,5.17,RU,1696280248
275,lucapa,-8.4192,20.7447,73.24,66,76,2.73,AO,1696280249
276,katsuura,35.1333,140.3,71.49,63,90,8.21,JP,1696280250
277,olyokminsk,60.3736,120.4264,27.99,80,76,1.99,RU,1696280251
278,banjarmasin,-3.3244,114.591,77.14,90,93,2.13,ID,1696280252
279,nahiyat ash shinafiyah,31.5874,44.6602,86.81,31,85,12.66,IQ,1696280252
280,chepo,9.1667,-79.1,87.58,90,100,3.38,PA,1696280253
281,basco,20.4487,121.9702,81.9,81,99,34.29,PH,1696280253
282,termas de rio hondo,-27.4998,-64.8604,90.07,24,0,11.83,AR,1696280254
283,dudhi,24.2167,83.25,74.97,99,100,5.61,IN,1696280255
284,piranshahr,36.701,45.1413,57.78,70,84,5.48,IR,1696280256
285,labytnangi,66.6572,66.4183,41.72,81,98,18.84,RU,1696280256
286,takehara,34.3383,132.9167,64.36,63,100,8.37,JP,1696280257
287,lethem,3.3803,-59.7968,98.24,26,92,3.09,GY,1696280257
288,khandyga,62.6667,135.6,41.65,88,100,2.66,RU,1696280258
289,goth garelo,27.4352,68.0755,81.28,8,0,1.45,PK,1696280259
290,muynoq,43.7683,59.0214,57.99,61,8,10.02,UZ,1696280260
291,port douglas,-16.4833,145.4667,73.87,83,58,8.37,AU,1696280260
292,saldanha,-33.0117,17.9442,59.76,88,0,15.37,ZA,1696280261
293,tadine,-21.55,167.8833,71.8,69,96,19.6,NC,1696280261
294,plettenberg bay,-34.0527,23.3716,65.73,54,0,4.56,ZA,1696280262
295,khilok,51.3674,110.4676,30.36,77,22,5.44,RU,1696280262
296,yorktown,40.1736,-85.4941,88.03,39,0,3.44,US,1696280263
297,sinjai,-5.1241,120.253,72.82,88,28,3.65,ID,1696280264
298,anadyr,64.75,177.4833,28.9,93,0,8.95,RU,1696280264
299,puerto baquerizo moreno,-0.9,-89.6,81.59,69,40,11.5,EC,1696280265
300,atkarsk,51.8718,45.0078,54.91,52,100,4.97,RU,1696280265
301,salahonda,2.1019,-78.7217,80.15,81,76,17.52,CO,1696280266
302,kingston,17.997,-76.7936,86.95,85,40,3.44,JM,1696280078
303,tuy hoa,13.0833,109.3,77.32,93,100,4.52,VN,1696280267
304,novi sanzhary,49.3439,34.3108,53.04,59,13,7.52,UA,1696280268
305,jurm,36.8648,70.8342,52.36,55,0,1.77,AF,1696280269
306,trumann,35.6737,-90.5073,89.71,25,68,3.58,US,1696280270
307,iquitos,-3.7481,-73.2472,93.24,62,75,8.05,PE,1696280270
308,remire-montjoly,4.9167,-52.2667,86.04,70,0,11.5,GF,1696280271
309,priozersk,61.0393,30.1291,46.94,88,77,6.6,RU,1696280272
310,gaillimh,53.2719,-9.0489,54.95,87,95,12.33,IE,1696280272
311,illizi,26.4833,8.4667,87.6,24,0,18.34,DZ,1696280273
312,baruun-urt,46.6806,113.2792,42.42,73,53,10.8,MN,1696280273
313,mossel bay,-34.1831,22.146,64.33,63,0,4.7,ZA,1696280274
314,college,64.8569,-147.8028,36.45,89,100,5.75,US,1696280274
315,rio grande,-32.035,-52.0986,69.91,78,0,8.39,BR,1696280275
316,loiza,18.4313,-65.8802,88.48,78,40,11.5,PR,1696280276
317,nyala,12.05,24.8833,84.07,54,100,9.89,SD,1696280276
318,hilongos,10.3744,124.7497,81.05,87,100,6.51,PH,1696280277
319,afaahiti,-17.75,-149.2833,80.47,87,71,15.64,PF,1696280278
320,dubai,25.2582,55.3047,91.33,58,0,4.61,AE,1696280147
321,sitangkai,4.6628,119.3928,83.75,77,100,10.71,PH,1696280279
322,mariental,-24.6333,17.9667,78.28,11,0,4.74,NA,1696280280
323,nemuro,43.3236,145.575,56.01,72,24,22.68,JP,1696280281
324,kashgar,39.4547,75.9797,63.61,39,0,13.42,CN,1696280281
325,lagunas,-5.2269,-75.6753,93.56,42,89,4.16,PE,1696280282
326,dauphin,51.1494,-100.0502,53.74,94,100,4.61,CA,1696280282
327,tomohon,1.3346,124.8392,67.14,75,99,2.33,ID,1696280283
328,las cruces,32.3123,-106.7783,91.99,20,75,17.0,US,1696280100
329,cercedilla,40.741,-4.0564,72.95,35,21,1.16,ES,1696280284
330,darwin,-12.4611,130.8418,78.78,78,40,3.44,AU,1696280285
331,chakari,-18.0629,29.8925,64.56,66,0,12.24,ZW,1696280285
332,sao vicente,-23.9631,-46.3919,71.78,59,100,2.3,BR,1696280286
333,tulay na lupa,14.0934,122.7862,76.41,96,100,6.35,PH,1696280287
334,yaren,-0.5472,166.916,83.93,75,71,11.23,NR,1696280288
335,port blair,11.6667,92.75,78.84,94,75,1.14,IN,1696280288
336,touros,-5.1989,-35.4608,77.52,80,100,13.82,BR,1696280289
337,codrington,-38.2667,141.9667,56.34,90,88,12.35,AU,1696280289
338,dabakala,8.3667,-4.4333,75.43,93,28,2.77,CI,1696280290
339,ntcheu,-14.8203,34.6359,63.7,86,16,9.73,MW,1696280291
340,ban dan lan hoi,17.0068,99.575,75.18,91,78,3.71,TH,1696280292
341,kapuskasing,49.4169,-82.4331,82.49,51,40,19.57,CA,1696280292
342,mantua,45.1667,10.7833,69.04,83,37,1.99,IT,1696280293
343,coyhaique,-45.5752,-72.0662,55.35,41,75,6.91,CL,1696280293
344,lahad datu,5.0268,118.327,77.05,90,100,2.57,MY,1696280170
345,bereket,39.2446,55.5154,65.89,27,15,11.12,TM,1696280294
346,forster,-32.1667,152.5167,62.29,97,0,6.42,AU,1696280295
347,tateyama,34.9833,139.8667,71.58,62,95,10.02,JP,1696280296
348,puri,19.8,85.85,79.32,86,100,10.25,IN,1696280297
